"","title","artist","top_peak","streak","entries","avgpos","sdpos","artist_clean","danceability","energy","song_key","loudness","song_mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","duration","time_signature","len","cat"
"2323","Only Thing That's Gone","Morgan Wallen Featuring Chris Stapleton",90,1,7,90,0,"Morgan Wallen",0.5,0.803,2,-4.591,"1",-3.44201937618241,-2.20727491318972,2.12e-05,-1.21739582465808,0.451,150.058,196707,"4",13,"short"
"2324","Only Wanna Be With You","Post Malone",74,1,7,74,0,"Post Malone",0.47,0.709,7,-4.563,"1",-3.5098967985855,-6.69264389936519,0.00121,-1.19732826160727,0.247,98.036,241360,"4",11,"short"
"2325","Oodles O' Noodles Babies","Meek Mill",85,1,7,85,0,"Meek Mill",0.609,0.836,4,-3.442,"0",-1.33180617583582,-0.522560879984412,0,-0.763569644856491,0.584,72.099,181274,"4",9,"short"
"2326","OOOUUU","Young M.A",19,20,7,35.2463768115942,20.4389107921123,"Young M.A",0.635,0.847,7,-3.152,"1",-0.805196684368568,-0.629233854816292,0,-1.87080267656851,0.568,166.072,234650,"4",9,"long"
"2327","Open Letter","Lil Wayne",47,1,7,47,0,"Lil Wayne",0.765,0.55,9,-6.299,"0",-1.0300194972025,-3.56489347433295,0,-1.97328134585145,0.361,97.004,269287,"4",9,"short"
"2328","Open Safe","Lil Wayne",62,1,7,62,0,"Lil Wayne",0.929,0.598,1,-5.373,"1",-1.8578992717326,-4.95472766215796,0,-2.90224193046665,0.501,96.012,223939,"4",9,"short"
"2329","Ophelia","The Lumineers",66,12,7,90.8795180722892,9.34748902028911,"The Lumineers",0.664,0.573,5,-6.519,"1",-3.58632286578884,-0.489390343045926,0.000363,-2.4569024533784,0.566,76.023,160097,"4",13,"medium"
"2330","Opp Stoppa","YBN Nahmir Featuring 21 Savage",78,6,7,89.1666666666667,8.37509859182352,"YBN Nahmir",0.829,0.343,2,-4.937,"0",-2.28278246569787,-4.91441643635571,0,-1.72036947314138,0.312,78.035,135431,"4",10,"medium"
"2331","Oprah's Bank Account","Lil Yachty, Drake & DaBaby",55,6,7,77,11.6430655589392,"Lil Yachty",0.836,0.617,0,-4.363,"1",-2.92994453301599,-1.77195684193188,0,-1.14256417619729,0.866,138.066,206702,"4",10,"medium"
"2332","ORANGE SODA","Baby Keem",98,3,7,99.3333333333333,0.966091783079296,"Baby Keem",0.83,0.564,1,-7.822,"1",-1.44816976483798,-1.73160554640831,0,-2.05572501506252,0.107,85.042,129882,"4",9,"medium"
"2333","Ordinary Life","The Weeknd",72,2,6,85.4615384615385,12.9718630415693,"The Weeknd",0.537,0.587,7,-7.486,"0",-2.56265199841285,-3.59356927430961,0,-2.34236596300589,0.365,149.748,221920,"4",10,"medium"
"2334","Otherside","Post Malone",46,2,7,67.5,22.3116044314991,"Post Malone",0.652,0.643,9,-5.667,"0",-3.34387231504289,-1.14570389620196,2.87e-06,-1.57021719928082,0.109,104.932,228227,"4",11,"medium"
"2335","Otherside Of America","Meek Mill",64,2,7,75.5,11.9341139982437,"Meek Mill",0.73,0.772,5,-3.883,"0",-1.15201306539522,-2.43269377834107,0,-0.913793851675568,0.403,147.053,218103,"4",9,"medium"
"2336","Otro Atardecer","Bad Bunny & The Marias",49,2,7,62.8181818181818,19.1719492061615,"Bad Bunny",0.777,0.595,2,-6.79,"1",-3.28341434600577,-0.527632742082372,0.00139,-2.70455631184795,0.546,108.02,244444,"4",9,"medium"
"2337","Otro Trago","Sech, Darell, Nicky Jam, Ozuna & Anuel AA",34,20,7,70.45,18.1881948432129,"Sech",0.725,0.79,0,-2.331,"1",-1.62455155024415,-2.64366794217294,1.14e-06,-2.81008292666736,0.763,175.988,287773,"4",4,"long"
"2338","OTW","DJ Luke Nasty",71,8,7,80.25,10.0873458082166,"DJ Luke Nasty",0.743,0.651,6,-5.974,"1",-2.73954086819358,-4.24749574171628,0,-2.53830742651512,0.467,82.022,219512,"4",13,"medium"
"2339","OTW","Khalid, Ty Dolla $ign & 6LACK",57,18,7,83.8888888888889,11.9399981388422,"Khalid",0.652,0.678,2,-6.183,"1",-2.9169210931297,-1.69826912614072,3.26e-05,-2.24431618487007,0.28,72.989,263014,"4",6,"long"
"2340","Oui","Jeremih",19,27,7,36.7058823529412,15.0570284251853,"Jeremih",0.418,0.724,5,-3.724,"1",-2.33924907736564,-1.54646311327271,0,-2.18925640768704,0.604,78.521,238320,"5",7,"long"
"2341","Out For The Night","21 Savage",88,1,7,88,0,"21 Savage",0.593,0.632,6,-5.381,"0",-0.614336000135655,-4.31999124375443,0,-0.446287102628419,0.0789,173.369,235232,"4",9,"short"
"2342","Out Of Luck","Lil Tecca",80,1,7,80,0,"Lil Tecca",0.563,0.624,8,-8.271,"1",-1.24827306322252,-3.12584095890101,0,-2.1982250776698,0.337,152.068,163267,"4",9,"short"
"2343","Out Of The Woods","Taylor Swift",18,10,0,53.125,9.69735202844758,"Taylor Swift",0.552,0.842,7,-6.938,"1",-3.28876195233237,-6.87819647674059,1.17e-05,-1.08767234862978,0.343,91.991,235800,"4",12,"medium"
"2344","Out Of Time","The Weeknd",32,3,7,66.3333333333333,25.8734097740003,"The Weeknd",0.65,0.76,0,-4.422,"0",-3.11002141995612,-1.36649173382371,0,-1.08175517160169,0.838,93.057,214194,"4",10,"medium"
"2345","Out The Mud","Lil Baby Featuring Future",70,3,7,75.6666666666667,6.81420085801214,"Lil Baby",0.746,0.497,1,-5.785,"1",-1.90380897303668,-4.66279929882473,8.6e-05,-2.29263476214088,0.25,160.051,157816,"4",8,"medium"
"2346","Out West","JACKBOYS Featuring Young Thug",38,22,7,67.4090909090909,11.4015327695424,"JACKBOYS",0.802,0.591,8,-4.895,"1",-1.49165487677772,-4.56594947283481,0,-1.62964061975162,0.309,139.864,157712,"4",8,"long"
"2347","Outlaw","Morgan Wallen Featuring Ben Burgess",86,1,7,86,0,"Morgan Wallen",0.505,0.63,7,-5.758,"1",-3.59721226558811,-0.558616287602339,0,-2.1119647333854,0.247,85.036,229747,"4",13,"short"
"2348","Outside","MO3 X OG Bobby Billions",92,7,7,96.5714285714286,2.74620950888068,"MO3",0.57,0.431,9,-8.685,"0",-1.72597172869005,-0.539568092631645,0,-2.25379492882461,0.433,154.918,215496,"4",3,"medium"
"2349","Outside (100 MPH)","Meek Mill",76,1,7,76,0,"Meek Mill",0.619,0.508,2,-8.735,"1",-0.736054681571222,-3.92713664323819,0,-0.772190387900398,0.331,145.125,198591,"4",9,"short"
"2350","Outside Today","YoungBoy Never Broke Again",31,19,7,53.5789473684211,18.6978407950951,"YoungBoy Never Broke Again",0.851,0.666,11,-5.334,"0",-2.66786841146938,-1.97328134585145,0,-2.25379492882461,0.0585,134.068,129105,"4",26,"long"
"2351","Outstanding","Gunna",70,1,7,70,0,"Gunna",0.829,0.73,6,-4.554,"0",-1.42295834549148,-1.17441400208439,0,-2.21640739675299,0.324,149.075,180780,"4",5,"short"
"2352","Outta My Head","Khalid With John Mayer",58,1,7,58,0,"Khalid With John Mayer",0.729,0.545,0,-7.818,"1",-3.45459815838927,-4.05128507276165,0.000274,-0.99695863494161,0.514,103.012,177067,"4",22,"short"
"2353","Outta Time","Bryson Tiller Featuring Drake",48,1,7,48,0,"Bryson Tiller",0.714,0.582,5,-7.272,"0",-2.51577831345509,-4.35052796761451,0,-2.55876849838646,0.338,92.819,198822,"4",13,"short"
"2354","Over","Lucky Daye",77,7,7,91.1428571428571,7.21399103594305,"Lucky Daye",0.677,0.541,6,-6.057,"0",-2.86295116232017,-0.7339691750802,0,-2.07944154167984,0.379,103.369,205276,"4",10,"medium"
